Sl No,Constituency,Leading Candidate
1,Sadulshahar,Gurveer Singh (BJP)
2,Ganganagar,Jaydeep Bihani (BJP)
3,Karanpur,
4,Suratgarh,Dungarram Gedar (INC)
5,Raisingh Nagar,Sohan Lal Nayak (INC)
6,Anupgarh,Shimla Devi (INC)
7,Sangaria,Abhimanyu (INC)
8,Hanumangarh,Ganeshraj Bansal (Independent)
9,Pilibanga,Vinod Kumar (INC)
10,Nohar,Amit Chachan (INC)
11,Bhadra, Sanjeev Kumar (BJP)
12,Khajuwala,Vishwanath Meghwal (BJP)
13,Bikaner West,Jethanand Vyas (BJP)
14,Bikaner East,Siddhi Kumari (BJP)
15,Kolayat,Anshuman Singh Bhati (BJP)
16,Lunkaransar,Sumit Godara (BJP)
17,Dungargarh,Tarachand (BJP)
18,Nokha,Sushila Rameshwar Dudi (INC)
19,Sadulpur,Manoj Kumar (BSP)
20,Taranagar,Narendra Budania (INC)
21,Sardarshahar,Anil Kumar Sharma (INC)
22,Churu,Harlal Saharan (BJP)
23,Ratangarh,Poosaram Godara (INC)
24,Sujangarh, Manoj Kumar (INC)
25,Pilani,Pritam Singh kala (INC)
26,Surajgarh,Sharwan Kumar (INC)
27,Jhunjhunu,Brijendra Singh Ola (INC)
28,Mandawa,Kumari Rita Chaudhary (INC)
29,Nawalgarh,Vikram Singh Jakhal (BJP)
30,Udaipurwati,Bhagawana Ram Saini (INC)
31,Khetri,Dharmpal (BJP)
32,Fatehpur,Hakam Ali Khan (INC)
33,Lachhmangarh,Govin Singh Dotasra (INC)
34,Dhod,Gordhan (BJP)
35,Sikar,Rajendra Pareek (INC)
36,Danta Ramgarh,Virendra Singh (INC)
37,Khandela,Subhash Meel (BJP)
38,Neem Ka Thana,Suresh Modi (INC)
39,Srimadhopur,Jhabar Singh Kharra (BJP)
40,Kotputli,Hansraj Patel (BJP)
41,Viratnagar,Kuldeep (BJP)
42,Shahpura,Manish Yadav (INC)
43,Chomu,Shikha Meel Barala (INC)
44,Phulera,Vidyadhar Singh (INC)
45,Dudu,Prem Chand Bairwa (BJP)
46,Jhotwara,Rajyavardhan Rathore (BJP)
47,Amber, Prashant Sharma (INC)
48,Jamwa Ramgarh,Mahendra Pal Meena (BJP)
49,Hawa Mahal, Balmukundachary (BJP)
50,Vidhyadhar Nagar,Diya Kumari (BJP)
51,Civil Lines,Gopal Sharma (BJP)
52,Kishan Pole,Amin Kagzi (INC)
53,Adarsh Nagar,Rafeek Khan (INC)
54,Malviya Nagar,Kalicharan Saraf (BJP)
55,Sanganer,Bhajan Lal Sharma (BJP)
56,Bagru,Kailash Chand Verma (BJP)
