S NO,Constituency,Winning Party,Winning Candidate
1,Achampet,Congress,Dr. Chikkudu Vamshi Krishna
2,Adilabad,BJP,Payal Shanker
3,Alair,Congress,Ilaiah Beerla
4,Alampur,BRS,Vijayudu
5,Amberpet,BRS,Kaleru Venkatesh
6,Andole,Congress,C. Damodar Rajanarsimha
7,Armur,BJP,Paidi Rakesh Reddy
8,Asifabad,BRS,Kova Laxmi
9,Aswaraopeta,Congress,Adinarayana Jare
10,Bahadurpura,AIMIM,Mohammed Mubeen
11,Balkonda,BRS ,Uttam Kumar Reddy Nalamada
12,Banswada,BRS,Srinivas Reddy Parige
13,Bellampalli,Congress,Gaddam Vinod
14,Bhadrachalam,BRS,Dr Tellam Venkata Rao
15,Bhongir,Congress,Kumbam Anil Kumar Reddy
16,Bhupalpalle,Congress,Gandra Satyanarayana Rao
17,Boath,BRS,Anil Jadhav
18,Bodhan,Congress,P Sudarshan Reddy
19,Chandrayangutta,AIMIM,Akbar Udddin Owaisi
20,Charminar,AIMIM,Mir Zulfeqar Ali
21,Chennur,Congress,Gaddam Vivekanand
22,Chevella,BRS ,Kale Yadaiah
23,Choppadandi,Congress,Medipally Sathyam
24,Devarakonda,Congress,Ballu Naik Nenavath
25,Devarkadra,Congress,Gavinolla Madhusudan Reddy
26,Dharmapuri,Congress,Adluri Laxman Kumar
27,Dornakal,Congress,Jatoth Ram Chander Naik
28,Dubbak,BRS,Kotta Prabhakar Reddy
29,Gadwal,BRS,Bandla Krishna Mohan Reddy
30,Gajwel,BRS ,Kalvakuntla Chandrashekar Rao
31,Ghanpur (Station),BRS,Kadiyam Srihari
32,Goshamahal,BJP,T Raja Singh
33,Husnabad,Congress ,Ponnam Prabhakar
34,Huzurabad,BRS,Kaushik Reddy Padi
35,Huzurnagar,Congress,Uttam Kumar Reddy Nalamada
36,Ibrahimpatnam,Congress ,Malreddy Ranga Reddy
37,Jadcherla,Congress,Anirudh Reddy Janampalli
38,Jagtial,BRS,Dr Sanjay
39,Jangoan,BRS,Palla Rajeshwar Reddy
40,Jubilee Hills,BRS ,Maganti Gopinath
41,Jukkal,Congress,Laxmi Kantha Rao Thota
42,Kalwakurthy,Congress ,Narayan Reddy Kesireddy
43,Kamareddy,BJP,Katipally Venkata Ramana Reddy
44,Karimnagar,BRS ,Gangula Kamalakar
45,Karwan,AIMIM,Kausar Mohiuddin
46,Khairatabad,BRS,Danam Nagender
47,Khammam,Congress ,Tummala Nageswara Rao
48,Khanapur,Congress ,Vedma Bhojju
49,Kodad,Congress,Nalamada Padmavathi Reddy
50,Kodangal,Congress ,Anumula Revanth Reddy
51,Kollapur,Congress ,Jupally Krishna Rao
52,Koratla,BRS,Kalvakuntla Sanjay
53,Kothagudem,CPI ,Kunamneni Sambasiva Rao
54,Kukatpalle,BRS ,Madhavaram Krishna Rao
55,Lal Bahadur Nagar,BRS ,Devireddy Sudhir Reddy
56,Madhira,Congress,Bhatti Vikramarka Mallu
57,Mahabubabad,Congress,Dr Murali Naik Bhukya
58,Mahbubnagar,Congress,Yennam Srinivas Reddy
59,Maheshwaram,BRS,Patlolla Sabitha Indra Reddy
60,Makthal,Congress ,Vakiti Srihari
61,Malakpet,AIMIM ,Ahmed Bin Abdullah Balala
62,Malkajgiri,BRS,Marri Rajashekar Reddy
63,Manakondur,Congress ,Dr Kavampally Satyanarayana
64,Mancherial,Congress,Kokkirala Premsagar Rao
65,Manthani,Congress,Duddilla Sridhar Babu
66,Medak,Congress ,Mynampally Rohith
67,Medchal,BRS,Chamakura Malla Reddy
68,Miryalguda,Congress,Bathula Laxma Reddy
69,Mudhole,BJP ,Ram Rao Pawar
70,Mulug,Congress ,Danasari Anasuya Seethakka
