S. No.,Constituency,Winning candidate,Party
1,Sheopur,Babu Jhandel,INC
2,Vijaypur,Ramiwas Rawat,INC
3,Sabalgarh,Sarla Vijendra Rawat,BJP
4,Joura,Pankaj Upadhyay,INC
5,Sumawali,Adal Singh Kansana,BJP
6,Morena,Dinesh Gurjar,INC
7,Dimani,Narendra Singh Tomar,BJP
8,Ambah,Devendra Ramnarayan Sakhwar,INC
9,Ater,Hemant Satyadev Katare,INC
10,Bhind,Narendra Singh Kushwaha,BJP
11,Lahar,Ambrish Sharma,BJP
12,Mehgaon,Rakesh Shukla,BJP
13,Gohad,Keshav Desai,INC
14,Gwalior Rural,Sahab Singh Gurjar,INC
15,Gwalior,Pradhuman Singh Tomar,BJP
16,Gwalior East,Satish Sikarwar,INC
17,Gwalior South,Narayan Singh Kushwaha,BJP
18,Bhitarwar,Mohan Singh Rathore,BJP
19,Dabra ,Suresh Raje,INC
20,Sewda,Pradeep Agarwal,BJP
21,Bhander ,Phool Singh Bariyya,INC
22,Datia,Rajendra Bharti,INC
23,Karera,Ramesh Khatik,BJP
24,Pohari,Kailash Kushwah,INC
25,Shivpuri,Devendra Kumar Jain,BJP
26,Pichhore,Preetam Lodhi,BJP
27,Kolaras,Maherdra Ramsingh Yadav Khatora,BJP
28,Bamori,Rishi Agrawal,INC
29,Guna ,Panna Lal Shakya,BJP
30,Chachoura,Priyanka Meena,BJP
31,Raghogarh,Jaivardhan Singh,INC
32,Ashok Nagar,Haribaboo Rai,INC
33,Chanderi,Jagannath Singh Raghuvanshi,BJP
34,Mungaoli,Brijendra Singh Yadav,BJP
35,Bina ,Nirmla Sapre,INC
36,Khurai,Bhupendra Singh,BJP
37,Surkhi,Govind Singh Rajput,BJP
38,Deori,Brijbihari Pateriya,BJP
39,Rehli,Gopal Bhargava,BJP
40,Naryoli,Pradeep Lariya,BJP
41,Sagar,Shailendra Jain,BJP
42,Banda,Veerendra Singh Lodhi,BJP
43,Tikamgarh,Yadvendra Singh,INC
44,Jatara ,Kiran Ahirwar,INC
45,Prithvipur,Nitendra Brajendra Singh Rathore,INC
46,Niwari,Anil Jain,BJP
47,Khargapur,Chanda Singh Gaur,INC
48,Maharajpur,Kamakhya Pratap Singh,BJP
49,Chandla ,Dilip Ahirwar,BJP
50,Rajnagar,Arvind Pateriya,BJP
51,Chhatarpur,Lalita Yadav,BJP
52,Bijawar,Rajesh Shukla,BJP
53,Malhara,Sadhvi Ram Siya Bharti,INC
54,Pathariya,Lakhan Patel,BJP
55,Damoh,Jayant Malaiya,BJP
56,Jabera,Dharmendra Singh Lodhi,BJP
57,Hatta ,Uma Khatik,BJP
58,Pawai,Prahlad Lodhi,BJP
59,Gunnaor ,Rajesh Kumar Verma,BJP
60,Panna,Brijendra Pratap Singh,BJP
61,Chitrakoot,Surendra Singh Gaharwar,BJP
62,Raigaon ,Pratima Bagri,BJP
63,Satna,Siddharth Kushwah,INC
64,Nagod,Nagendra Singh,BJP
65,Maihar,Srikant Chaturvedi,BJP
66,Amarpatan,Rajendra Kumar Singh,INC
67,Rampur-Baghelan,Ramshankar Pyasi,INC
68,Sirmour,Divyaraj Singh,BJP
69,Semariya,Abhay Mishra,INC
70,Teonthar,Siddharth Tiwari,BJP
71,Mauganj,Pradeep Patel,BJP
72,Devtalab,Girish Gautam,BJP
73,Mangawan ,Narendra Prajapati,BJP
74,Rewa,Rajendra Shukla,BJP
75,Gurh,Nagendra Singh,BJP
76,Churhat,Ajay Arjun Singh,INC
77,Sidhi,Riti Pathak,BJP
78,Sihawal,Vishwamitra Pathak,BJP
79,Chitrangi ,Radha Singh,BJP
80,Singrauli,Ramniwas Shah,BJP
81,Devsar ,Rajendra Meshram,BJP
82,Dhauhani ,Kunwar Singh Tekam,BJP
83,Beohari ,Sharad Juglal Kol,BJP
84,Jaisingnagar ,Manisha Singh,BJP
85,Jaitpur ,Jaisingh Maravi,BJP
86,Kotma,Dilip Jaiswal,BJP
87,Anuppur ,Bisahu Lal Singh,BJP
88,Pushprajgarh ,Fundelal Marko,INC
89,Bandhavgarh ,Shivnarayan Gyan Singh,BJP
90,Manpur ,Meena Singh Mandve,BJP
91,Badwara ,Dhirendra Singh,BJP
92,Vijayraghavgarh,Sanjay Satyendra Pathak,BJP
93,Murwara,Sandeep Shriprasad Jaiswal,BJP
94,Bahoriband,Pranay Prabhat Pandey,BJP
95,Patan,Ajay Vishnoi,BJP
96,Bargi,Neeraj Thakur,BJP
97,Jabalpur East,Lakhan Ghanghoria,INC
98,Jabalpur North,Abhilash Pandey,BJP
99,Jabalpur Cantonment,Ashok Rohani,BJP
